"time","revolute1.w","revolute1.tau","revolute1.frame_b.f[3]","revolute1.frame_b.f[1]","revolute1.frame_b.f[2]"
1.38429,-0.8543529157753863,15.30160315964283,13.73426736640085,9.360487873671925,9.364814221589634e-13
1.38829,-0.8359841028986428,16.64712765409247,16.54803075164257,10.92522333782025,1.569752063634556e-12
1.39229,-0.8019317216913625,18.11979437442231,19.62333656670629,12.68575869526673,-2.084337165379845e-13
1.39629,-0.7505310018979414,19.73767915726706,22.99680840690281,14.67002088141017,1.792227889936027e-13
1.40029,-0.6799867062388929,21.47366849347394,26.61345990455566,16.86337273391625,1.118698929979331e-13
1.40429,-0.5883409533878571,23.34249831127434,30.50288411643285,19.29341094123127,1.625426803768127e-14
1.40829,-0.4736874569446896,25.25613248534422,34.48713945135529,21.86769569430983,1.449074363680521e-14
1.41229,-0.3365448820819255,27.06138650571577,38.25614845092007,24.40219626793921,1.625134023444246e-14
1.41629,-0.1465632499137701,26.54761721876444,37.34622986750214,24.06063251007191,1.02216828440438e-14
1.42029,0.03524167862483049,37.66492192229442,59.93455319500477,38.84736220452967,-4.493106255431614e-14
1.42429,0.2766847711911604,39.32989641088184,63.43269080684556,41.70152046441214,2.716446429918328e-14
1.42829,0.5540367991937913,41.24347005559851,67.43399779265513,44.94694182653705,1.639127466867221e-14
1.43229,0.8723273164025327,44.27894607982901,73.70326727492736,49.87427888906008,1.903546485868953e-13
1.4363,1.237286181066594,47.79679958693787,80.94718922950206,55.67643315696983,-1.087771316623503e-14
1.4403,1.653527966691487,51.61650324191311,88.7986667622567,62.14406880262207,3.320737839999855e-14
1.4443,2.125606806680858,55.69715519415625,97.17186925757495,69.26353381320517,-2.932941543830697e-14
1.4483,2.657517765111137,59.34568619262581,104.6691886880345,75.80248325588899,4.851066689002469e-14
1.4523,3.249701169715955,60.53256921510907,107.2009103567653,77.87682841935043,-1.929691944786749e-14
1.4563,3.899278039849994,60.14186600237731,106.5222156518288,77.0944948785712,8.786464503226962e-15
1.4603,4.60204076047795,59.10014608901318,104.4783042903055,75.32567919408548,1.488513745567606e-13
1.4643,5.352271123899564,57.59855232530401,101.4400157468849,73.09630443294056,-1.141573696418044e-13
1.4683,6.142123530344414,55.59605212261187,97.3133203650043,70.49223635642619,8.921348903057302e-14
1.4723,6.961368626350396,52.93852581785253,91.77764773159203,67.38511254418209,9.256858473947087e-15
1.4763,7.797379507351708,49.61467852938031,84.8041928391293,63.9048238118033,6.508452904850865e-13
1.4803,8.635592080727676,45.51284742902901,76.16552869055016,59.96207308792576,4.356429934116354e-14
1.48431,9.460003855444445,40.61372371788353,65.82674298728071,55.59450515728648,4.692833341416464e-14
1.48831,10.25390847734408,34.86594819576667,53.69416240728484,50.72176219291918,4.411466420922755e-13
1.49231,11.00088839181627,28.34573802898566,39.93868286283552,45.44221101572296,2.890084095785129e-13
1.49631,11.68549428484845,21.15842637141893,24.79512392980463,39.85423138210065,3.168547257101278e-13
1.50031,12.30004933853517,15.77470743113444,13.28223227884822,38.50730069332744,-2.517793410513814e-13
1.50431,12.84755750169911,13.30710218903966,7.677660734574982,43.01420347535357,-3.604669456437977e-14
1.50831,13.32679770780847,9.564034011774863,-0.4626353031400579,45.15454229463901,-2.065629499837995e-13
1.51231,13.72475299933252,1.942947233745433,-16.37700225080944,40.32584465769158,1.245767591265821e-13
1.51631,14.03069641816437,-7.424737470243869,-35.738380317406,32.57683564229198,3.513788038727819e-14
1.52031,14.24240747116193,-17.3778251424136,-56.18266598672295,23.99281543834775,-3.845265689422554e-15
1.52431,14.36218173998455,-27.61844182589444,-77.09452706045039,15.09500994162697,-2.109089281134081e-14
1.52831,14.39453701699636,-38.05715772898665,-98.28542105910986,6.077034819542448,-3.335600257908289e-13
1.53232,14.34534220540363,-48.61417635489586,-119.5920174529514,-2.854638283324284,-4.226468879498194e-13
1.53632,14.22128743689063,-59.20510466913529,-140.8467712033921,-11.47451760118945,3.538384336911507e-14
1.54032,14.02935892968544,-69.31302574157141,-161.021392267478,-18.91245550868333,2.642078239969196e-14
1.54432,13.77656777714411,-79.06108339533478,-180.3699254765561,-25.41895375619014,3.88504050021341e-14
1.54832,13.46960676947077,-97.37797520766637,-216.7609782059374,-42.99890636320573,-3.258940256869673e-13
1.55232,13.11441563211709,-107.0562549181404,-235.7919650371417,-47.66863036163256,-4.198436493342146e-14
1.55632,12.71708672212802,-116.4349330908037,-254.1396511256978,-51.53195226774993,-2.43087892744597e-13
1.56032,12.29282300603451,-121.7435521226334,-264.20715181402,-51.04899270867161,4.747476091968911e-13
1.56432,11.85883666600478,-123.8582801048354,-267.7916324663012,-47.49239573533066,1.852826977140617e-13
1.56832,11.42387714961568,-124.9983540332855,-269.3868256825991,-43.13865920779843,7.445599230238809e-13
1.57232,10.99105333130155,-125.8656518048221,-270.4187993918533,-38.64159914100188,-9.299147058487828e-14
1.57632,10.5617761898614,-126.6108466019519,-271.1985775074298,-34.13279871681478,-1.066092814093369e-13
1.58033,10.13684374389413,-127.2625948444609,-271.7901641445277,-29.63684631986935,2.042397335151294e-14
1.58433,9.716822775805934,-127.7508731212695,-272.0581009594712,-25.11567154801804,1.17185570273417e-13
